Indian Kurtis	https://www.facebook.com/156591851068044	Snehal Creation is the Manufacturer and Exporter of Indian bollywood Fashion Ladies Garments, Designer Saree and Kids Lehenga Choli. We have a vast range of Indian fashion kurtis, Long Tunics, Printed Crepe Kurtis, Lenin Kurtis, Georgette Kurties, Cotton Kurtas, Designer Kurtis, Traditional wear Kurties, Embroidered Kurtis, Salwar Kameez, Churidar and Children Wear. We have wonderful collection of Indian Traditional Wear kurtis and Long Tunics. Indian bollywood fashion Kurtis are all the way comfortable yet elegant and easy to wear. Designer kurtis are the latest trend in Indian fashion, Some are embellished with gorgeous embroidery work in pleasing designs, they manage to look smart enough to be worn for casual family gatherings, or even for a wedding cermony. Our designs are created keeping in mind the trends fabrics and colors of the season.
" Pakistani dresses , indian dresses & kurtis	https://www.facebook.com/133867383353003	
Indian Clothes	https://www.facebook.com/115246831843025	
Drishtee Fashion - Ladies' Indian Wear	https://www.facebook.com/294240774001818	
LadyLine Indian Salwar Kameez, Kurtis, Tunic, Sarees, Dress Materials	https://www.facebook.com/104410739594726	
Indian Wedding Sarees	https://www.facebook.com/118843774826380	
Pehchaan fashions Pvt. Ltd.	https://www.facebook.com/192796494093827	PEHCHAAN is the Manufacturer of Indian Fashion Ladies Garmentsi. We have a vast range of Indian fashion kurtis, Long Tunics, Lenin Kurtis, Cotton Kurtas, Designer Kurtis, Traditional wear Kurties, Embroidered Kurtis, Salwar Kameez, Churidar and Children Wear. Designer suits are the latest trend in Indian fashion, Some are embellished with gorgeous embroidery work in pleasing designs, they manage to look smart enough to be worn for casual family gatherings, or even for a wedding cermony
Harmeen Design	https://www.facebook.com/150776654985290	Take a sneak peek at our latest designer collection.
Indian kurtis,shalwars,sarees	https://www.facebook.com/535462173135044	
" Pakistani dress , indian kurtis & lehengas "(Arsh Tailoring Southall)	https://www.facebook.com/117665364978684	
Indian Fashion Bollywood Exclusive Designer Salwar Kameez, Kurtis & Jewelry	https://www.facebook.com/350376220267	
Indian Designer Kurtis	https://www.facebook.com/294513273911525	
Kurtis(Indian & Pakistani), Leggings & Salwaars	https://www.facebook.com/317905631638177	Collection of Indian & Pakistani Kurtis. Styles for every occasion!!! Vast variety in colors of leggings and patiala salwaars... Feel free to contact me to view the complete collection!!!  Contact number 0097156 - 7919770
Traditional Indian Dresses	https://www.facebook.com/221367631216292	
Tunics ladies wear (indian kurtis)	https://www.facebook.com/139297769472951	
Indian Fashion	https://www.facebook.com/384378968281123	
Indian Ladies Dress	https://www.facebook.com/302500633165336	
Indian Clothing	https://www.facebook.com/136531329822466	
Indian Hesh fashion(kurtis ,churidar s,sarees on sale for best prices)	https://www.facebook.com/283865361723648	
Indian Traditional Fashion	https://www.facebook.com/199273643476281	
Sneh Collections -"Ethnic Indian Handicrafts and Jewelry"	https://www.facebook.com/291631604270428	A Showcase of unique and lovingly handcrafted items that make terrific gifts...
pagli indian ethnic wear	https://www.facebook.com/120967051265474	
Indian dresses melbourne	https://www.facebook.com/243299299042165	Indian & Pakistani ladies dresses available here in Melbourne or posted to anywhere in Australia...all types of designer readymades, dressmaterial, semi-stitched suits, kurtis and scarfs!!!!!! CHECK THE PICS OUT!!!! 
Exim Jewelry -Manufacturer Of Indian Fashion Jewelry and Garments	https://www.facebook.com/165493540236175	
SareesBazaarUSA - Online Indian Clothing Store	https://www.facebook.com/292952120820856	Online Indian Clothing Store for buying Designer Sarees, Wedding Bridal Lehengas, Bollywood Replica Sarees, Unstitched Salwar Kameez Suits, Casual Cotton Kurtis, Fashion Costume Jewellery Online. Shop for Sarees Online now.
Prakhya	https://www.facebook.com/417570634970000	Exclusive Indian Ethnic Contemporary Clothing For Women with beautiful prints and textures.
Maryam's Collection.	https://www.facebook.com/114986588648582	
D' GLiP Fashion	https://www.facebook.com/460745760613384	
LD Fashion Trend	https://www.facebook.com/239241696195441	Distribution and retail of latest Indian Kurtis fashion wear ..
Indian ladies kurti	https://www.facebook.com/350869658297626	
